kepid,prob_confirmed,label
10395543,0.9837518,CANDIDATE
12105051,0.98360026,CANDIDATE
12105051,0.98350024,CANDIDATE
12105051,0.9830033,CANDIDATE
10395543,0.98287684,CANDIDATE
12105051,0.9828568,CANDIDATE
12105051,0.9828523,CANDIDATE
12105051,0.9827391,CANDIDATE
9634821,0.98237926,CANDIDATE
9634821,0.9823559,CANDIDATE
12105051,0.9818573,CANDIDATE
9634821,0.98146755,CANDIDATE
6867155,0.9808076,CANDIDATE
11030475,0.9807788,CANDIDATE
12105051,0.98051584,CANDIDATE
12105051,0.98002875,CANDIDATE
6867155,0.9797569,CANDIDATE
6867155,0.97971845,CANDIDATE
10319385,0.9795234,CANDIDATE
9634821,0.97941315,CANDIDATE
5080636,0.97912246,CANDIDATE
11030475,0.97901493,CANDIDATE
5080636,0.9789915,CANDIDATE
8018547,0.9788432,CANDIDATE
10717241,0.9787669,CANDIDATE
9006186,0.97870344,CANDIDATE
7811397,0.97863287,CANDIDATE
11030475,0.9785421,CANDIDATE
5542466,0.9785377,CANDIDATE
11918099,0.9783555,CANDIDATE
6867155,0.97831446,CANDIDATE
11030475,0.9780514,CANDIDATE
9705459,0.97802013,CANDIDATE
11870545,0.97770464,CANDIDATE
11870545,0.9775253,CANDIDATE
10000941,0.97746027,CANDIDATE
5080636,0.97745365,CANDIDATE
5542466,0.97743225,CANDIDATE
8018547,0.97739685,CANDIDATE
7811397,0.9773941,CANDIDATE
7630229,0.97704583,CANDIDATE
8018547,0.9769305,CANDIDATE
9705459,0.9765952,CANDIDATE
9571186,0.9761796,CANDIDATE
8018547,0.97617245,CANDIDATE
10656508,0.9760267,CANDIDATE
11870545,0.97598654,CANDIDATE
11030475,0.97595507,CANDIDATE
9006186,0.97590554,CANDIDATE
9571186,0.97587764,CANDIDATE
10140122,0.97577786,CANDIDATE
10158418,0.97570723,CANDIDATE
9571186,0.9757019,CANDIDATE
11391755,0.97567594,CANDIDATE
9006186,0.9756437,CANDIDATE
12154526,0.9755598,CANDIDATE
10319385,0.9753373,CANDIDATE
10285631,0.9753362,CANDIDATE
9571186,0.9751508,CANDIDATE
9602613,0.97509944,CANDIDATE
9571186,0.975094,CANDIDATE
4939265,0.9750118,CANDIDATE
9634821,0.9749971,CANDIDATE
11075279,0.9749392,CANDIDATE
7106173,0.97489524,CANDIDATE
11075279,0.97475183,CANDIDATE
5131180,0.9747457,CANDIDATE
12154526,0.97466135,CANDIDATE
9571186,0.97459203,CANDIDATE
11805075,0.97458255,CANDIDATE
7906882,0.9745334,CANDIDATE
11075279,0.97446537,CANDIDATE
9571186,0.9744334,CANDIDATE
11904704,0.97441894,CANDIDATE
12253769,0.9742904,CANDIDATE
9705459,0.9741949,CANDIDATE
11904704,0.97410446,CANDIDATE
9006186,0.97398347,CANDIDATE
9571186,0.9739057,CANDIDATE
9602613,0.97385377,CANDIDATE
